,name,address,telephone,sido,gugun
30,강원화천군화천점,강원 화천군 화천읍 중앙,033-441-9233,강원,화천군
31,강원강릉시내곡점,강원 강릉시 범일로,033-643-9954,강원,강릉시
32,강원속초시금호점,강원 속초시 미시령로,033-638-4482,강원,속초시
33,강원원주시무실점,강원 원주시 섬밭들길,033-746-4479,강원,원주시
34,강원동해시효가점,강원 동해시 동해대로,033-521-2676,강원,동해시
35,강원태백시장성점,강원 태백시 장성로,033-581-5677,강원,태백시
36,강원원주시태장점,강원 원주시 북원로,033-743-4479,강원,원주시
37,강원평창군대관령점,강원 평창군 대관령면 경강로 ,033-335-9599,강원,평창군
38,강원평창군장평점,강원 평창군 용평면 경강로,033-333-4491,강원,평창군
39,강원정선군정선점,강원 정선군 정선읍 봉양길,033-562-4477,강원,정선군
40,경기포천시운천점,경기 포천시 영북면 운천로,031-534-9293,경기,포천시
41,강원철원군동송점,강원 철원군 동송읍 금학로,033-456-0635,강원,철원군
42,강원철원군와수리점,강원 철원군 서면 와수로,033-458-5332,강원,철원군
43,강원강릉시홍제점,강원 강릉시 홍제로,033-643-9993,강원,강릉시
44,강원평창군봉평점,강원 평창군 봉평면 태기로,033-334-5255,강원,평창군
45,강원강릉시솔올점,강원 강릉시 원대로,033-641-4560,강원,강릉시
46,강원강릉시입암점,강원 강릉시 강변로,033-643-9976,강원,강릉시
47,강원강릉시사천해변점,강원 강릉시 사천면 진리해변길,033-644-8881,강원,강릉시
48,강원춘천시효자점,강원 춘천시 서부대성로,033-256-0074,강원,춘천시
49,강원춘천시칠전송암점,강원 춘천시 옛경춘로,033-251-4479,강원,춘천시
50,강원인제군현리점,강원 인제군 기린면 내린천로,033-461-9294,강원,인제군
51,강원양구군양구점,강원 양구군 양구읍 중앙길,033-481-9995,강원,양구군
52,강원철원군내대리점,강원 철원군 갈말읍 두루미로,033-452-1111,강원,철원군
53,강원원주시혁신도시점,강원 원주시 웅비2길 ,033-742-4479,강원,원주시
54,강원춘천시강북점,강원 춘천시 충열로,033-252-0086,강원,춘천시
55,강원삼척시교동점,강원 삼척시 정상로,033-573-8000,강원,삼척시
56,강원강릉시주문진점,강원 강릉시 주문진읍 주문로,033-661-4488,강원,강릉시
57,강원횡성군횡성점,강원 횡성군 횡성읍 읍하로,033-344-4479,강원,횡성군
58,강원화천군사내점,강원 화천군 사내면 사내로,033-441-9292,강원,화천군
59,강원철원군신철원점,강원 철원군 갈말읍 삼부연로,033-452-9911,강원,철원군
60,강원인제군인제점,강원 인제군 인제읍 인제로,033-463-7999,강원,인제군
61,강원동해시천곡점,강원 동해시 한섬로,033-532-9591,강원,동해시
62,강원고성군고성간성점,강원 고성군 간성읍 간성로,033-681-4479,강원,고성군
63,서울도봉구신창점,서울 도봉구 덕릉로,02-998-9592,서울,도봉구
64,경기파주시선유점,경기 파주시 문산읍 독서울길,031-953-1842,경기,파주시
65,경기양주시광적점,경기 양주시 광적면 삼일로,031-836-3436,경기,양주시
66,경기연천군전곡점,경기도 연천군 전곡읍 은전로,031-832-9956,경기도,연천군
67,경기동두천시생연점,경기 동두천시 삼육사로,031-862-9298,경기,동두천시
68,경기포천시신읍리점,경기 포천시 왕방로,031-531-9281,경기,포천시
69,경기양주시신산점,경기 양주시 남면 개나리길,031-861-9252,경기,양주시
70,서울강북구미아점,서울 강북구 삼양로,02-982-8292,서울,강북구
71,경기의정부시의정부1점,경기 의정부시 호국로,031-846-9952,경기,의정부시
72,경기양주시덕계점,경기 양주시 평화로,031-864-9982,경기,양주시
73,경기양주시장흥점,경기 양주시 장흥면 호국로,031-855-5474,경기,양주시
74,서울성동구행당1점,서울 성동구 왕십리로길,02-2293-4479,서울,성동구
75,경기연천군대광리점,경기 연천군 신서면 연신로,031-834-8207,경기,연천군
76,서울용산구원효점,서울 용산구 새창로길,02-707-0983,서울,용산구
77,경기고양시풍동점,경기 고양시 일산동구 숲속마을로,031-966-4492,경기,고양시
78,경기고양시주교점,경기 고양시 덕양구 원당로,031-965-9234,경기,고양시
79,경기의정부시금오지구점,경기 의정부시 청사로,031-853-9989,경기,의정부시
80,서울성북구정릉점,서울 성북구 보국문로,02-943-9592,서울,성북구
81,서울서대문구홍제1점,서울 서대문구 통일로,02-3216-4450,서울,서대문구
82,경기양주시송추점,경기 양주시 장흥면 호국로,031-826-1934,경기,양주시
83,서울중랑구묵2동점,서울 중랑구 동일로,02-975-4527,서울,중랑구
84,경기고양시라페스타점,경기 고양시 일산동구 무궁화로,031-905-9982,경기,고양시
85,경기파주시봉일천점,경기 파주시 조리읍 송비말길,031-947-4192,경기,파주시
86,서울동대문구용두1호점,서울 동대문구 정릉천동로,02-922-3777,서울,동대문구
87,경기포천시양문점,경기 포천시 영중면 양문로,031-532-6608,경기,포천시
88,서울마포구망원점,서울 마포구 포은로,02-323-7383,서울,마포구
89,서울동대문구신이문점,서울 동대문구 한천로,02-966-8955,서울,동대문구
90,서울노원구상계마들점,서울 노원구 한글비석로,02-934-4479,서울,노원구
91,경기파주시문산점,경기 파주시 문산읍 문향로,031-953-9479,경기,파주시
92,경기고양시성석점,경기 고양시 일산동구 고봉로,031-977-4412,경기,고양시
93,서울성북구보문점,서울 성북구 보문로,02-922-0118,서울,성북구
94,경기고양시행신3점,경기 고양시 덕양구 화신로,031-978-1629,경기,고양시
95,서울서대문구이대역점,서울 서대문구 연세로,02-3272-0036,서울,서대문구
